pm25,pm10,no2,o3,so2,co,temp,rhum,wspd,pres,coco,pm25_AQI,pm10_AQI,no2_AQI,o3_AQI,so2_AQI,overall_AQI
64.0,90.61697,17.297169,59.085278,13.515982,818.21643,35.9,44.0,7.6,1002.7,3.0,5.0,4.0,1.0,2.0,1.0,5.0
60.0,90.61697,17.297169,59.085278,13.515982,818.21643,34.0,51.0,5.5,1003.7,3.0,5.0,4.0,1.0,2.0,1.0,5.0
63.0,90.61697,17.297169,59.085278,13.515982,818.21643,32.9,55.0,3.7,1004.2,3.0,5.0,4.0,1.0,2.0,1.0,5.0
58.0,90.61697,17.297169,59.085278,13.515982,818.21643,31.5,60.0,7.6,1004.2,2.0,5.0,4.0,1.0,2.0,1.0,5.0
56.0,125.5,17.297169,59.085278,13.515982,818.21643,30.9,63.0,5.5,1004.6,2.0,5.0,5.0,1.0,2.0,1.0,5.0
47.0,91.2184,17.297169,59.085278,13.515982,818.21643,30.3,65.0,3.7,1005.0,2.0,4.0,4.0,1.0,2.0,1.0,4.0
48.0,91.2184,17.297169,59.085278,13.515982,818.21643,28.7,64.0,0.0,1005.7,2.0,4.0,4.0,1.0,2.0,1.0,4.0
66.0,91.2184,17.297169,59.085278,13.515982,818.21643,29.2,70.0,1.8,1005.2,2.0,5.0,4.0,1.0,2.0,1.0,5.0
76.0,91.2184,17.297169,59.085278,13.515982,818.21643,28.7,72.0,1.8,1004.9,2.0,6.0,4.0,1.0,2.0,1.0,6.0
91.333336,194.0,33.36,34.54,14.36,780.4,27.5,68.0,0.0,1004.9,2.0,6.0,6.0,1.0,1.0,1.0,6.0
66.366,129.8705,23.246,28.019167,10.86,922.175,27.1,71.0,0.0,1005.1,2.0,5.0,5.0,1.0,1.0,1.0,5.0
70.28693,123.63381,28.576666,30.99423,10.267826,810.884,26.8,74.0,0.0,1005.3,2.0,5.0,5.0,1.0,1.0,1.0,5.0
69.28738,137.08821,29.416262,16.519218,9.768888,859.4323,25.9,82.0,0.0,1004.8,2.0,5.0,5.0,1.0,1.0,1.0,5.0
64.16637,122.29182,30.10909,18.632727,16.85,976.36365,27.5,74.0,1.8,1006.0,2.0,5.0,5.0,1.0,1.0,1.0,5.0
59.196365,116.750275,33.070957,15.542738,51.20061,961.4035,28.7,69.0,3.7,1006.5,2.0,5.0,5.0,1.0,1.0,1.0,5.0
54.67598,98.81065,30.23643,36.277325,11.957798,820.727,31.1,56.0,9.4,1006.6,1.0,5.0,4.0,1.0,1.0,1.0,5.0
56.00654,110.02944,29.56,83.182274,17.206667,1058.4615,32.7,51.0,7.4,1006.4,1.0,5.0,5.0,1.0,2.0,1.0,5.0
48.58758,95.585945,18.930656,55.926662,14.089687,829.18915,34.4,47.0,7.4,1006.3,1.0,4.0,4.0,1.0,2.0,1.0,4.0
48.475407,95.20815,19.011051,56.082172,14.116422,830.0369,36.5,46.0,7.6,1006.2,1.0,4.0,4.0,1.0,2.0,1.0,4.0
48.361668,94.85799,19.10943,56.176044,14.156314,831.4345,36.6,42.0,7.4,1005.5,1.0,4.0,4.0,1.0,2.0,1.0,4.0
48.25077,94.44284,19.20341,56.17078,14.188296,900.0,37.2,41.0,7.4,1004.8,2.0,4.0,4.0,1.0,2.0,1.0,4.0
60.377285,147.98494,25.16912,49.535393,16.409252,819.96027,40.5,33.0,9.4,1003.5,2.0,5.0,5.0,1.0,1.0,1.0,5.0
62.080486,153.38017,20.5074,58.4975,13.223,882.3722,39.4,36.0,9.3,1003.1,1.0,5.0,6.0,1.0,2.0,1.0,6.0
72.725,155.938,18.052,75.76222,17.633333,1013.11,38.4,38.0,7.4,1002.8,1.0,5.0,6.0,1.0,2.0,1.0,6.0
61.670834,144.3543,15.223889,97.73261,14.585257,743.48065,39.9,30.0,3.6,1001.3,1.0,5.0,5.0,1.0,2.0,1.0,5.0
43.539898,135.61603,15.194,97.144844,13.031482,746.3596,35.9,46.0,5.5,1003.0,1.0,4.0,5.0,1.0,2.0,1.0,5.0
0.32,127.82833,13.764091,94.63841,11.396471,726.4409,34.4,50.0,5.5,1003.5,1.0,1.0,5.0,1.0,2.0,1.0,5.0
42.80391,127.893936,12.212644,103.26493,10.043636,676.97437,27.5,74.0,11.2,1005.1,1.0,4.0,5.0,1.0,3.0,1.0,5.0
40.809258,121.25875,12.762857,106.02043,10.514348,775.6667,27.7,73.0,9.3,1005.2,3.0,4.0,5.0,1.0,3.0,1.0,5.0
42.1228,132.46182,19.0356,81.46095,10.279285,898.884,27.9,73.0,5.5,1005.4,3.0,4.0,5.0,1.0,2.0,1.0,5.0
66.39389,241.12709,16.099644,70.17053,8.891905,815.2889,28.1,69.0,3.6,1004.7,3.0,5.0,6.0,1.0,2.0,1.0,6.0
59.176537,148.47682,18.042692,82.94909,10.3325,1042.3077,27.8,75.0,1.8,1005.2,2.0,5.0,5.0,1.0,2.0,1.0,5.0
41.666668,50.0,24.98,64.55,10.2,723.3333,27.5,77.0,1.8,1004.9,2.0,4.0,3.0,1.0,2.0,1.0,4.0
34.603,57.877857,28.6588,36.442173,14.434,874.32916,27.3,76.0,11.2,1005.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0
30.02614,47.84489,34.196335,28.53037,12.842334,1027.0,26.9,77.0,9.3,1005.1,3.0,4.0,3.0,1.0,1.0,1.0,4.0
30.335333,56.15286,36.244,32.764286,11.927273,998.5714,26.4,78.0,7.4,1005.3,3.0,4.0,4.0,1.0,1.0,1.0,4.0
25.5615,70.76029,34.559048,30.43625,9.344,1055.5,26.3,64.0,3.6,1005.1,2.0,1.0,4.0,1.0,1.0,1.0,4.0
50.976578,103.81965,20.508142,59.743217,14.693424,868.08905,27.3,73.0,7.4,1005.9,2.0,1.0,5.0,1.0,2.0,1.0,5.0
51.209293,104.72224,20.550224,60.026695,14.244169,871.61255,28.6,67.0,7.4,1006.4,2.0,5.0,5.0,1.0,2.0,1.0,5.0
51.518124,105.98844,20.677532,60.352028,14.371551,874.15607,28.9,55.0,7.6,1006.0,1.0,5.0,5.0,1.0,2.0,1.0,5.0
51.81615,107.08655,20.769249,60.760826,14.447861,875.6895,32.5,47.0,9.3,1006.6,2.0,5.0,5.0,1.0,2.0,1.0,5.0
52.02509,108.03677,20.78383,61.187256,14.534979,879.7873,34.6,42.0,11.1,1006.3,1.0,5.0,5.0,1.0,2.0,1.0,5.0
52.21932,108.997765,20.853354,61.719357,14.5995455,882.2309,37.5,34.0,9.4,1005.4,1.0,5.0,5.0,1.0,2.0,1.0,5.0
52.383217,109.77352,20.897457,62.24491,14.2547865,884.59015,37.5,35.0,13.0,1005.2,1.0,5.0,5.0,1.0,2.0,1.0,5.0
52.52742,110.19876,20.914988,62.641262,14.27783,886.11487,38.4,33.0,14.8,1004.3,2.0,5.0,5.0,1.0,2.0,1.0,5.0
52.741203,110.77658,21.006008,62.707787,14.25705,885.0226,39.3,30.0,14.8,1003.3,2.0,5.0,5.0,1.0,2.0,1.0,5.0
30.0,111.123604,21.105844,96.0,14.278361,885.32465,38.9,31.0,14.8,1002.7,1.0,4.0,5.0,1.0,2.0,1.0,5.0
40.0,80.0,23.5,14.15,17.3,700.0,38.6,32.0,13.0,1002.2,1.0,4.0,4.0,1.0,1.0,1.0,4.0
29.129545,92.15833,18.970455,104.161,10.429,1173.335,39.3,25.0,16.6,1001.6,1.0,4.0,4.0,1.0,3.0,1.0,4.0
31.374,103.64917,16.100107,106.719284,10.865764,756.9632,36.5,37.0,11.1,1002.1,1.0,4.0,5.0,1.0,3.0,1.0,5.0
41.24111,108.81,18.25125,89.73143,9.76,890.1625,34.8,42.0,7.4,1002.6,1.0,4.0,5.0,1.0,2.0,1.0,5.0
38.318077,107.72363,15.066539,104.361305,9.632778,474.64584,34.3,35.0,7.6,1002.8,1.0,4.0,5.0,1.0,3.0,1.0,5.0
33.474834,97.44724,17.755625,98.77887,11.3556,527.5719,33.2,38.0,7.4,1003.1,1.0,4.0,4.0,1.0,2.0,1.0,4.0
29.250984,85.09268,16.396818,89.85742,9.69147,572.11365,32.1,43.0,5.5,1003.4,1.0,4.0,4.0,1.0,2.0,1.0,4.0
29.628824,98.15385,29.063334,90.40412,9.644117,789.41174,31.1,46.0,0.0,1003.6,1.0,4.0,4.0,1.0,2.0,1.0,4.0
